City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,La Sarre,CA,48.8002,-79.1996,30.29,93,100,12.77,light snow
1,Okha,RU,53.5739,142.9478,-3.08,92,100,30.11,light snow
2,Hilo,US,19.7297,-155.09,71.26,90,100,3.44,moderate rain
3,Tateyama,JP,34.9833,139.8667,48.09,72,31,14.14,scattered clouds
4,Kodiak,US,57.79,-152.4072,33.31,69,0,14.97,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,69.76,90,95,7.67,heavy intensity rain
6,Punta Arenas,CL,-53.15,-70.9167,60.91,48,75,14.97,broken clouds
7,Port Alfred,ZA,-33.5906,26.891,75.18,90,60,1.99,broken clouds
8,Chicama,PE,-7.8447,-79.1469,70.34,70,100,6.06,overcast clouds
9,Laguna,US,38.421,-121.4238,43.09,95,100,0.0,fog
10,Mataura,NZ,-46.1927,168.8643,53.64,99,74,2.06,broken clouds
11,Esperance,AU,-33.8667,121.9,60.35,76,3,14.88,clear sky
12,Veraval,IN,20.9,70.3667,77.34,65,73,5.57,broken clouds
13,Sitka,US,57.0531,-135.33,42.69,87,100,12.66,light intensity drizzle
14,Sistranda,NO,63.7256,8.834,30.16,56,100,21.0,overcast clouds
15,Pozo Colorado,PY,-23.4923,-58.7972,95.07,21,93,7.4,overcast clouds
16,Goma,CD,-1.6792,29.2228,68.7,81,96,2.15,light rain
17,Busselton,AU,-33.65,115.3333,63.19,63,0,18.19,clear sky
18,Shenkursk,RU,62.1091,42.896,18.3,91,97,7.61,overcast clouds
19,Ponta Do Sol,PT,32.6667,-17.1,70.72,70,44,9.4,scattered clouds
20,Dikson,RU,73.5069,80.5464,2.53,97,100,15.86,overcast clouds
21,Acapulco,MX,16.8634,-99.8901,75.02,83,20,4.61,few clouds
22,Muros,ES,42.7762,-9.0603,59.09,71,42,9.53,scattered clouds
23,Jamestown,US,42.097,-79.2353,36.01,71,100,3.44,fog
24,Albany,US,42.6001,-73.9662,35.22,93,100,6.17,snow
25,Rikitea,PF,-23.1203,-134.9692,73.72,77,98,5.97,overcast clouds
26,Zhaotong,CN,27.3167,103.7167,30.92,94,100,6.78,light snow
27,Hermanus,ZA,-34.4187,19.2345,66.79,93,99,6.29,light rain
28,Thompson,CA,55.7435,-97.8558,14.16,79,75,12.66,light snow
29,Port Lincoln,AU,-34.7333,135.8667,58.1,82,5,17.07,clear sky
30,Aviles,ES,43.5547,-5.9248,52.92,77,75,10.36,broken clouds
31,Santa Cruz,BO,-17.8,-63.1667,86.05,45,40,20.71,scattered clouds
32,Ushuaia,AR,-54.8,-68.3,58.66,55,75,11.5,light rain
33,Yangmei,CN,24.1023,112.5618,45.37,64,100,8.41,overcast clouds
34,Nikolskoye,RU,59.7035,30.7861,17.49,97,69,4.81,broken clouds
35,Atuona,PF,-9.8,-139.0333,78.21,74,53,18.61,broken clouds
36,Chokurdakh,RU,70.6333,147.9167,-29.47,97,94,6.64,overcast clouds
37,Carnarvon,AU,-24.8667,113.6333,75.29,66,0,22.59,clear sky
38,Vaini,TO,-21.2,-175.2,77.16,83,20,9.22,few clouds
39,Mount Isa,AU,-20.7333,139.5,83.97,14,6,16.11,clear sky
40,Klaksvik,FO,62.2266,-6.589,34.72,74,100,22.82,snow
